lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Beli dvor	2	35	P		DA			DA		2000	1.7-2K
Beli dvor	3	52	I-II	DA	DA		NE	DA	2	2000	1.7-2K
Beli dvor	2	47	I-II		NE		DA	DA		2000	1.7-2K
Beli dvor	2	52	I-II	DA	DA		DA	DA	2	2000	1.7-2K
Beli dvor	3	80	I-II	DA	DA		DA	DA	2	2000	1.7-2K
Centar-Stari grad	3	65	I-II	NE	DA	DA		DA	1	2000	1.7-2K
Centar-Stari grad	2	68	III-IV	DA	DA	DA		DA	2	2000	1.7-2K
Centar-Stari grad	4	160	V+		DA	DA		DA	2	2000	1.7-2K
Crveni krst	2	34	III-IV	DA	DA	DA	DA	DA	2	2000	1.7-2K
Crveni krst	1	45	V+	NE	DA	DA	DA	DA	1	2000	1.7-2K
Djeram pijaca 	1	34	III-IV	DA	DA	DA	NE	DA	2	2000	1.7-2K
Djeram pijaca 	4	160	V+	DA	DA	DA	DA	DA	2	2000	1.7-2K
Donji Dorćol	1	27	V+	NE	NE	DA	DA	DA	1	2000	1.7-2K
Donji Dorćol	3	70	V+		DA	DA		DA		2000	1.7-2K
Novi Beograd-Blokovi Sava	2	60	III-IV		DA	DA	DA	DA	2	2000	1.7-2K
Novi Beograd-Sava Centar	3	65	III-IV	NE	DA	NE	NE	DA	2	2000	1.7-2K
Tašmajdan	2	58	V+	NE	DA	DA	NE	DA	1	2000	1.7-2K
Vračar-Hram	2	50	I-II	NE	NE			DA	1	2000	1.7-2K
Vračar-Hram	4	120	III-IV	DA	DA	DA	DA	DA	2	2000	1.7-2K
Vračar-Hram	1	36	V+		DA	DA		DA	1	2000	1.7-2K
Vračar-Kalenić pijaca	1	43	III-IV	NE	DA	DA		DA	1	2000	1.7-2K
Vukov Spomenik	1	32	III-IV	NE	NE	DA		DA		2000	1.7-2K
Vračar-Hram	4	90	I-II	DA	DA	DA	DA	DA	1	1994.444444	1.7-2K
Centar-Stari grad	3	115	I-II	NE	DA	NE		DA	2	1991.304348	1.7-2K
Centar-Stari grad	2	42	III-IV	NE	DA	DA	DA	DA	2	1988.095238	1.7-2K
Vračar-Hram	2	53	I-II		DA			DA		1981.132075	1.7-2K
Beli dvor	2	51	I-II		NE		DA	DA	1	1980.392157	1.7-2K
Kalemegdan	3	90	I-II		DA	DA		DA	2	1977.777778	1.7-2K
Beli dvor	3	86	I-II	NE	DA			DA	1	1976.744186	1.7-2K
Lekino Brdo	3	81	III-IV	DA	DA	DA		DA	1	1975.308642	1.7-2K
Kalemegdan	1	23	I-II	NE	NE	DA		DA	1	1969.565217	1.7-2K
Slavija	2	35	III-IV	NE	NE	DA		DA		1968.571429	1.7-2K
Slavija	1	29	V+	NE	DA	DA		DA	1	1965.517241	1.7-2K
Tašmajdan	2	42	III-IV	NE	NE	NE	NE	DA	1	1964.285714	1.7-2K
Vračar-Hram	3	84	I-II	NE	NE	DA		DA		1964.285714	1.7-2K
Vračar-Kalenić pijaca	2	51	I-II	NE	NE			DA	1	1960.784314	1.7-2K
Tašmajdan	2	68	V+	DA	NE			DA	1	1955.882353	1.7-2K
Donji Dorćol	1	45	I-II	DA	DA	DA	NE	DA	2	1955.555556	1.7-2K
Donji Dorćol	1	45	I-II	DA	DA	DA	DA	DA	1	1955.555556	1.7-2K
Beli dvor	3	82	I-II	DA	DA		DA	DA		1951.219512	1.7-2K
Golf naselje	4	164	III-IV		DA	DA			2	1951.219512	1.7-2K
Novi Beograd-Opština	4	100	III-IV	NE	DA	DA	NE	DA	2	1950	1.7-2K
Beli dvor	3	59	I-II	NE	DA			DA		1949.152542	1.7-2K
Novi Beograd-Fontana	4	96	III-IV		DA	DA	DA	DA		1947.916667	1.7-2K
Slavija	1	35	I-II	DA	DA	DA		DA		1942.857143	1.7-2K
Vračar-Hram	4	98	V+	NE	DA	DA	DA	DA	1	1938.77551	1.7-2K
Kalemegdan	2	65	I-II	NE	DA	DA	DA	DA	1	1938.461538	1.7-2K
Centar-Stari grad	4	92	I-II	DA	DA	DA	DA	DA	2	1934.782609	1.7-2K
Kalemegdan	4	103	I-II	NE	DA	DA		DA	1	1932.038835	1.7-2K
Donji Dorćol	1	29	III-IV	NE	NE		DA	DA	1	1931.034483	1.7-2K
Donji Dorćol	4	110	III-IV	DA	DA	DA		DA	2	1926.363636	1.7-2K
Donji Dorćol	3	67	P		DA			DA	2	1925.373134	1.7-2K
Tašmajdan	2	60	III-IV	NE	DA	DA	NE	DA	1	1916.666667	1.7-2K
Beli dvor	3	94	III-IV	DA	DA	DA		NE	2	1914.893617	1.7-2K
Vukov Spomenik	1	80	III-IV	DA	DA	DA		DA		1912.5	1.7-2K
Vračar-Kalenić pijaca	2	68	V+	NE	DA	DA			1	1911.764706	1.7-2K
Beli dvor	4	375	I-II	DA	DA	DA	NE	DA	2	1906.666667	1.7-2K
Novi Beograd-Sava Centar	4	160	I-II	DA	DA	DA	NE	DA	2	1906.25	1.7-2K
Vračar-Kalenić pijaca	2	52	I-II	NE	NE			DA	1	1903.846154	1.7-2K
Novi Beograd-Sava Centar	2	63	I-II	DA	DA	DA	NE	DA	2	1903.174603	1.7-2K
Novi Beograd-Opština	1	41	V+	NE	DA	DA		DA		1902.439024	1.7-2K
Profesorska kolonija	2	61	III-IV	DA	DA	DA		DA	1	1901.639344	1.7-2K
Konjarnik-Denkova basta 	4	95	III-IV	DA	DA	DA	DA			1900	1.7-2K
Novi Beograd-Hotel Jugoslavija	2	40	P	NE	DA			DA	1	1900	1.7-2K
Lekino Brdo	4	115	I-II	DA	DA	DA	DA	DA	2	1900	1.7-2K
Vračar-Kalenić pijaca	1	29	P	DA	DA	DA		NE	2	1900	1.7-2K
Vračar-Kalenić pijaca	2	54	I-II	DA	DA	DA		NE	2	1900	1.7-2K
Vračar-Kalenić pijaca	1	28	V+	DA	DA	DA		NE	2	1900	1.7-2K
Lekino Brdo	3	52	P	DA	DA		DA	DA	1	1894.230769	1.7-2K
Donji Dorćol	2	66	I-II	NE	DA	DA		DA	1	1893.939394	1.7-2K
Kalemegdan	3	65	I-II		DA	DA	DA	DA		1892.307692	1.7-2K
Autokomanda	2	74	I-II	DA	DA	DA		DA		1891.891892	1.7-2K
Kalemegdan	2	36	I-II	NE	DA	DA		DA	1	1888.888889	1.7-2K
Lekino Brdo	4	90	I-II	DA	NE		DA	DA	2	1888.888889	1.7-2K
Crveni krst	3	89	III-IV	NE	DA	DA	NE	DA	1	1887.640449	1.7-2K
Vračar-Kalenić pijaca	3	53	V+	NE	DA	DA	DA	DA	1	1886.792453	1.7-2K
Tašmajdan	1	34	V+	NE	NE	DA	NE	DA	1	1882.352941	1.7-2K
Donji Dorćol	1	16	V+	NE	DA	DA		DA	0	1875	1.7-2K
Donji Dorćol	1	16	V+	NE	DA	DA		DA	1	1875	1.7-2K
Vukov Spomenik	3	80	I-II	DA	DA	DA		DA	2	1875	1.7-2K
Donji Dorćol	2	63	I-II		DA	DA		DA	1	1873.015873	1.7-2K
Novi Beograd-Sava Centar	2	74	III-IV	DA	DA	DA	NE	DA	2	1871.621622	1.7-2K
Vračar-Hram	1	30	P		NE			DA	0	1866.666667	1.7-2K
Vračar-Kalenić pijaca	1	29	P	DA	DA		NE		2	1862.068966	1.7-2K
Crveni krst	3	78	III-IV	DA	DA	DA	NE		2	1858.974359	1.7-2K
Crveni krst	3	70	V+	NE	DA	DA	NE	DA	1	1857.142857	1.7-2K
Djeram pijaca 	1	35	V+		DA		NE			1857.142857	1.7-2K
Slavija	1	35	I-II	NE	DA	DA		DA	1	1857.142857	1.7-2K
Tašmajdan	3	63	P	NE	DA	DA	NE	DA	1	1857.142857	1.7-2K
Tašmajdan	2	42	III-IV	DA	DA	DA	DA	NE	1	1857.142857	1.7-2K
Vračar-Kalenić pijaca	3	70	I-II		DA	DA		DA	2	1857.142857	1.7-2K
Crveni krst	3	62	III-IV	DA	DA	DA	NE		2	1854.83871	1.7-2K
Crveni krst	2	34	P	DA	DA		NE		2	1852.941176	1.7-2K
Vračar-Kalenić pijaca	2	48	III-IV	NE	DA			DA	1	1852.083333	1.7-2K
Crveni krst	3	67	III-IV	DA	DA	DA	NE		2	1850.746269	1.7-2K
Autokomanda	2	55	I-II	DA	DA	DA	DA	DA		1850	1.7-2K
Djeram pijaca 	2	50	III-IV	DA	DA	DA	DA	DA	2	1850	1.7-2K
Slavija	2	54	I-II	NE	DA		DA	DA	1	1850	1.7-2K
Vračar-Hram	3	65	V+	NE	NE	DA		DA		1846.153846	1.7-2K
Kalemegdan	3	84	III-IV	NE	DA	DA		DA	1	1845.238095	1.7-2K
Djeram pijaca 	3	69	III-IV	DA	DA	DA	DA	DA	2	1840.57971	1.7-2K
Djeram pijaca 	3	69	III-IV	DA	DA	DA	DA	DA	2	1840.57971	1.7-2K
Beli dvor	2	50	I-II		DA			DA	2	1840	1.7-2K
Donji Dorćol	3	68	I-II		DA	DA		DA	1	1838.235294	1.7-2K
Donji Dorćol	3	68	V+		DA	DA		DA	2	1838.235294	1.7-2K
Golf naselje	4	147	I-II		DA					1836.734694	1.7-2K
Novi Beograd-Studentski grad	4	98	I-II		DA	DA	DA	DA		1836.734694	1.7-2K
Učiteljsko naselje	2	53	V+	DA	DA	DA		DA		1835.849057	1.7-2K
Crveni krst	2	48	V+	DA	DA	DA	NE	DA	2	1833.333333	1.7-2K
